id,tvrzeni,spravne,vysvetleni,kategorie,obtiznost,trvanlivost
AN-035,Slovo robot se poprvé objevilo ve hře Karla Čapka R.U.R.,ANO,Samotné slovo mu poradil bratr Josef.,Česko,2,evergreen
AN-036,Měkké kontaktní čočky vynalezl Čech Otto Wichterle.,ANO,První kus si složil doma z dětské stavebnice.,Česko,2,evergreen
AN-037,Antarktida se odborně řadí mezi pouště.,ANO,Spadne tam míň srážek než na Sahaře.,Všeobecné,2,evergreen
AN-038,"Mozek sám nemá receptory bolesti, takže se dá operovat při vědomí.",ANO,Bolí jen tkáně kolem něj.,Všeobecné,3,evergreen
AN-039,Wasabi podávaná ve většině evropských restaurací bývá obarvený křen.,ANO,Pravá wasabi je drahá a rychle ztrácí chuť.,Jídlo a lifestyle,2,evergreen
AN-040,Značka Adidas vznikla z křestního jména a příjmení zakladatele.,ANO,"Adi Dassler, bratr zakladatele Pumy.",Sport,2,evergreen
AN-041,IKEA je zkratka z iniciál zakladatele a názvů jeho farmy a rodné vesnice.,ANO,"Ingvar Kamprad, Elmtaryd, Agunnaryd.",Všeobecné,3,evergreen
AN-042,Slovo pixel vzniklo spojením anglických slov picture a element.,ANO,Tedy obrazový prvek.,Tech a AI,2,evergreen
AN-043,Nejdelší běžně uváděné české slovo bez samohlásky je scvrnkls.,ANO,Osm souhlásek v řadě.,Česko,2,evergreen
AN-044,Vltava je na českém území delší než Labe.,ANO,"Přesto se do Labe vlévá, ne naopak.",Česko,3,evergreen
AN-045,Rubikova kostka má přes 43 trilionů možných kombinací.,ANO,A správná je z nich jediná.,Hry,3,evergreen
AN-046,Hru Doom se lidem podařilo spustit i na těhotenském testu.,ANO,"Displej vyměnili, ale počítá se to.",Hry,3,evergreen
AN-047,Facebook koupil Instagram zhruba za miliardu dolarů.,ANO,"V roce 2012, kdy měl Instagram třináct zaměstnanců.",Sítě a appky,2,evergreen
AN-048,Pilsner Urquell se vaří v Plzni od roku 1842.,ANO,První světlý ležák na světě.,Česko,2,evergreen
AN-049,Gepard je nejrychlejší suchozemský živočich.,ANO,Ve sprintu zvládne přes 100 km/h.,Všeobecné,1,evergreen
AN-050,Zkratka SMS znamená Short Message Service.,ANO,A první zpráva v historii měla text Merry Christmas.,Tech a AI,2,evergreen
AN-051,"Šachy vznikly v Indii, ne v Evropě.",ANO,Původní hra se jmenovala čaturanga.,Hry,2,evergreen
AN-052,Nejsledovanějším videem na YouTube je dětská písnička.,ANO,Baby Shark překonal i Despacito.,Sítě a appky,2,sezónní
AN-053,Netopýři jsou slepí.,NE,"Vidí normálně, echolokaci používají navíc.",Všeobecné,1,evergreen
AN-054,Velká čínská zeď je jako jediná lidská stavba vidět pouhým okem z vesmíru.,NE,Z oběžné dráhy je prakticky neviditelná.,Všeobecné,1,evergreen
AN-055,Vikingové nosili helmy s rohy.,NE,Vymyslel to kostýmní výtvarník Wagnerovy opery v 19. století.,Všeobecné,2,evergreen
AN-056,Zlato je vzácnější než platina.,NE,"Je to naopak, platiny je na Zemi výrazně míň.",Všeobecné,3,evergreen
AN-057,Banánovník je strom.,NE,"Je to bylina, nejvyšší na světě.",Všeobecné,3,evergreen
AN-058,Slovo sushi znamená japonsky syrová ryba.,NE,Znamená kyselá rýže. Ryba v tom není vůbec.,Jídlo a lifestyle,3,evergreen
AN-059,Croissant pochází z Francie.,NE,"Vznikl ve Vídni jako kipferl, Francouzi ho převzali.",Jídlo a lifestyle,2,evergreen
AN-060,Ferrari a Lamborghini založili dva bratři.,NE,Nebyli příbuzní. Lamborghini vznikl ze sporu s Enzem Ferrarim.,Všeobecné,2,evergreen
AN-061,Herní série Mario vznikla dřív než Donkey Kong.,NE,Mario se poprvé objevil právě jako postava v Donkey Kongu.,Hry,3,evergreen
AN-062,První videohrou v historii byl Pong.,NE,"Pong byl až komerční průlom, prototypy vznikaly o dekádu dřív.",Hry,3,evergreen
AN-063,TikTok vlastní americká firma.,NE,Stojí za ním čínská ByteDance.,Sítě a appky,1,evergreen
AN-064,Slunce je ve skutečnosti žluté.,NE,"Vyzařuje bíle, nažloutlé ho dělá až naše atmosféra.",Všeobecné,3,evergreen
AN-065,Rajče je botanicky zelenina.,NE,"Je to plod, tedy ovoce. Kuchyně to řeší jinak než botanika.",Jídlo a lifestyle,2,evergreen
AN-066,Nokia od svého založení vyráběla telefony.,NE,"Začínala jako papírna, pak dělala i gumáky a pneumatiky.",Tech a AI,2,evergreen
AN-067,Samsung začínal jako výrobce elektroniky.,NE,Původně obchodoval s potravinami a sušenými rybami.,Tech a AI,3,evergreen
AN-068,Lego je norská firma.,NE,"Je dánská a název vznikl ze slov leg godt, hraj dobře.",Hry,2,evergreen
AN-069,Bluetooth je pojmenovaný po anglickém vynálezci.,NE,Po dánském králi Haraldovi Modrozubovi. Logo tvoří jeho iniciály v runách.,Tech a AI,3,evergreen
AN-070,QR kód vznikl v USA pro potřeby maloobchodu.,NE,Vymysleli ho v Japonsku na sledování dílů v automobilce.,Tech a AI,3,evergreen
AN-071,Filmy Titanic a Avatar natočil stejný režisér.,ANO,James Cameron. A oba se postupně staly nejvýdělečnějším filmem historie.,Film a seriály,2,evergreen
AN-072,Skupina ABBA vyhrála Eurovizi.,ANO,V roce 1974 s písní Waterloo.,Hudba,2,evergreen
AN-073,"Herec, který hraje Wolverina, si zahrál i v muzikálu Bídníci.",ANO,Hugh Jackman začínal právě u muzikálů.,Film a seriály,3,evergreen
AN-074,Studio Pixar patří Disneymu.,ANO,Disney ho koupil v roce 2006.,Film a seriály,2,evergreen
AN-075,"Seriál Hra o trůny vznikl podle knižní série, která dodnes není dokončená.",ANO,Seriál předběhl knihy a musel si konec vymyslet sám.,Film a seriály,2,evergreen
AN-076,Mickey Mouse byl první animovanou postavou v historii.,NE,Kocour Felix i dinosaurus Gertie ho předběhli o víc než deset let.,Film a seriály,2,evergreen
AN-077,Kapela Nirvana pochází z Los Angeles.,NE,"Ze státu Washington, scéna se soustředila kolem Seattlu.",Hudba,2,evergreen
AN-078,Oscara za nejlepší film už získal i animovaný snímek.,NE,"Nominovaných bylo několik, vyhrát se to zatím nepodařilo žádnému.",Film a seriály,3,evergreen
AN-079,Herec Keanu Reeves se narodil v Kanadě.,NE,Narodil se v Bejrútu. Kanaďan je až výchovou a občanstvím.,Film a seriály,3,evergreen
AN-080,Píseň Happy Birthday byla vždycky volným dílem bez autorských práv.,NE,Poplatky se za ni vybíraly až do soudního rozhodnutí v roce 2015.,Hudba,3,evergreen
